TTDDRUID	Drug_id
D06EPF	PUBCHEM:163659
D06EQP	PUBCHEM:26035
D06FDR	PUBCHEM:135398739
D06FEA	PUBCHEM:5280360
D06FES	PUBCHEM:667477
D06FOU	PUBCHEM:11518241
D06FPQ	PUBCHEM:77992
D06FVX	PUBCHEM:50295
D06FWC	PUBCHEM:3369
D06FZX	PUBCHEM:2200
D06GAM	PUBCHEM:3357
D06GBQ	PUBCHEM:24847866
D06GCK	PUBCHEM:5273755
D06GCO	PUBCHEM:25080282
D06GDY	PUBCHEM:43815
D06GIP	PUBCHEM:6989
D06GJT	PUBCHEM:135413504
D06GKN	PUBCHEM:2099
D06GWF	PUBCHEM:135413535
D06HBQ	PUBCHEM:91610
D06HCP	PUBCHEM:10311
D06HLY	PUBCHEM:5910
D06HZY	PUBCHEM:2723872
D06IAQ	PUBCHEM:2131
D06IAR	PUBCHEM:60961
D06IDT	PUBCHEM:5965
D06IGU	PUBCHEM:202225
D06IIB	PUBCHEM:443943
D06IXT	PUBCHEM:3778
D06IZM	PUBCHEM:5284553
D06JGH	PUBCHEM:1051
D06JPB	PUBCHEM:5280793
D06KDP	PUBCHEM:9963963
D06KGV	PUBCHEM:16186200
D06KKS	PUBCHEM:38103
D06KYN	PUBCHEM:60789
D06LBO	PUBCHEM:2880
D06LHG	PUBCHEM:3335
D06LHU	PUBCHEM:3723
D06LNW	PUBCHEM:10034073
D06LOQ	PUBCHEM:179337
D06LYG	PUBCHEM:4906
D06LYS	PUBCHEM:34457
D06MAJ	PUBCHEM:65906
D06MQM	PUBCHEM:6437380
D06MRT	PUBCHEM:2006
D06NNU	PUBCHEM:11969872
D06NSA	PUBCHEM:3032285
D06NSS	PUBCHEM:2882
D06NVJ	PUBCHEM:936
D06NXY	PUBCHEM:5991
D06OAV	PUBCHEM:443971
D06OFS	PUBCHEM:68712
D06OIV	PUBCHEM:5505
D06OMK	PUBCHEM:445643
D06OMW	PUBCHEM:3052776
D06ORU	PUBCHEM:2480
D06OSM	PUBCHEM:91273
D06OUL	PUBCHEM:43507
D06OVY	PUBCHEM:5362065
D06PEB	PUBCHEM:6436135
D06PQT	PUBCHEM:6042
D06PSS	PUBCHEM:5311309
D06QAK	PUBCHEM:119058036
D06QCC	PUBCHEM:9570757
D06QDR	PUBCHEM:657272
D06QKV	PUBCHEM:68760
D06RCB	PUBCHEM:3052
D06REO	PUBCHEM:38286
D06RFG	PUBCHEM:9874560
D06RGG	PUBCHEM:5819
D06RUL	PUBCHEM:35330
D06SVW	PUBCHEM:70678557
D06TFE	PUBCHEM:72941733
D06TJJ	PUBCHEM:16850
D06TNG	PUBCHEM:4870
D06TNL	PUBCHEM:3278
D06TOE	PUBCHEM:477468
D06TQZ	PUBCHEM:6087
D06UDG	PUBCHEM:60846
D06UDO	PUBCHEM:11291
D06ULU	PUBCHEM:121494085
D06UNR	PUBCHEM:2724039
D06UVD	PUBCHEM:5360373
D06VFO	PUBCHEM:6918612
D06VNK	PUBCHEM:1110
D06WEK	PUBCHEM:25517
D06WKA	PUBCHEM:16158207
D06WTZ	PUBCHEM:53232
D06XAE	PUBCHEM:1712095
D06XGW	PUBCHEM:12035
D06XHC	PUBCHEM:443958
D06XMU	PUBCHEM:6013
D06XWB	PUBCHEM:854026
D06XXH	PUBCHEM:11511120
D06XZR	PUBCHEM:27400
D06XZW	PUBCHEM:5591
D06YFA	PUBCHEM:31101
D06YHL	PUBCHEM:456255
D06YPU	PUBCHEM:39912
D06YYD	PUBCHEM:9578005
D06ZAY	PUBCHEM:3561
D06ZEE	PUBCHEM:74989
D06ZEO	PUBCHEM:54674461
D06ZII	PUBCHEM:969472
